Strategy,OOS_trades,OOS_win_rate_pct,OOS_sharpe,OOS_profit_factor,OOS_total_return_pct,Qualified
OBV_Breakout_Long,0,0,0,0,0,no
OBV_Breakdown_Short,0,0,0,0,0,no
MACD_Hist_Expansion_Long,0,0,0,0,0,no
KST_Bullish_Cross_Long,0,0,0,0,0,no
Funding_Extreme_Contrarian_Long,0,0,0,0,0,no
EFI_Bearish_Cross_Short,0,0,0,0,0,no
Funding_Rate_Fade,0,0,0,0,0,no
PSAR_4h_Flip_Short,0,0,0,0,0,no
DEMA_4h_Golden_Cross_Long,0,0,0,0,0,no
DEMA_4h_Death_Cross_Short,0,0,0,0,0,no
RSI_4h_Momentum_Short,0,0,0,0,0,no
Chandelier_Break_Short,0,0,0,0,0,no
Coppock_Cross_Long,0,0,0,0,0,no
EMA9_Cross_EMA21_Long,0,0,0,0,0,no
MACD_Zero_Cross_Trend_Short,0,0,0,0,0,no
Triple_EMA_Bull_Long,0,0,0,0,0,no
Triple_EMA_Bear_Short,0,0,0,0,0,no
MACD_Zero_Cross_Trend_Long,0,0,0,0,0,no
Donchian_Lower_EFI_ADX_Short,0,0,0,0,0,no
MACD_Double_Bearish_Short,0,0,0,0,0,no
HMA_4h_Direction_Short,0,0,0,0,0,no
MACD_Signal_Cross_Short,0,0,0,0,0,no
MACD_Signal_Cross_Long,0,0,0,0,0,no
RSI_Mid_Cross_Short,0,0,0,0,0,no
Dual_RSI_Overbought_Short,0,0,0,0,0,no
Fisher_Zero_EFI_ADX_Short,0,0,0,0,0,no
RSI_Deep_Mid_Cross_Short,0,0,0,0,0,no
Bearish_Momentum_Candle_Short,0,0,0,0,0,no
Stoch_Bear_EFI_ADX_Short,0,0,0,0,0,no
BB_Squeeze_Breakout_Long,0,0,0,0,0,no
HTF_Aligned_Pullback_Short,0,0,0,0,0,no
MACD_Signal_EFI_ADX_Short,0,0,0,0,0,no
1h_KST_EFI_Bear_Short,0,0,0,0,0,no
Fisher_Zero_Cross_Short,0,0,0,0,0,no
MACD_Hist_Sign_Flip_Short,0,0,0,0,0,no
1h_Aroon_CMF_Bear_Short,0,0,0,0,0,no
WR_OB_Exit_Short,0,0,0,0,0,no
Volatility_Regime_Shift,0,0,0,0,0,no
CMF_Zero_Bear_Short,0,0,0,0,0,no
1h_BB_Width_CMF_Bear_Short,0,0,0,0,0,no
EFI_Zero_Cross_Bear_Short,0,0,0,0,0,no
BB_Mid_Break_Short,0,0,0,0,0,no
Chandelier_Bull_Break_Long,0,0,0,0,0,no
Donchian_Mid_Break_Short,0,0,0,0,0,no
Fisher_High_Exit_Short,0,0,0,0,0,no
RSI_60_Break_Short,0,0,0,0,0,no
HMA_Slope_Turn_Short,0,0,0,0,0,no
EMA13_Cross_WMA34_CMF_ADX_Long,0,0,0,0,0,no
DEMA_Death_Cross_Short,0,0,0,0,0,no
Multi_Signal_Confluence_Short,0,0,0,0,0,no
Multi_Signal_Confluence_Long,0,0,0,0,0,no
ZLEMA_Bear_Cross_Short,0,0,0,0,0,no
RSI48_Break_EFI_Short,0,0,0,0,0,no
RSI_65_Break_Short,0,0,0,0,0,no
Funding_Rate_Extreme_Short,0,0,0,0,0,no
Funding_Rate_Extreme_Long,0,0,0,0,0,no
Multi_TF_Supertrend_Cascade,0,0,0,0,0,no
ZLEMA_1h_Cross,0,0,0,0,0,no
StochRSI_1h_Reversal,0,0,0,0,0,no
HMA_Slope_Shift,0,0,0,0,0,no
Ichimoku_Cloud_Break,0,0,0,0,0,no
BB_Upper_Walk_Fail_Short,0,0,0,0,0,no
